Time stamp,Phytoplankton,Zooplankton,Small prey fishes,Small predators,Large predators
630.10034,0.82313466,0.048867367,1.3858685,0.032645423,4.058002
632.44147,0.8279148,0.048245136,1.3877163,0.02690212,3.991545
634.7826,0.8302251,0.047711454,1.391279,0.022514096,3.9216015
637.1237,0.83312654,0.046781942,1.3941679,0.019154355,3.8494453
639.4649,0.836481,0.04595737,1.3945124,0.016570823,3.7760227
641.806,0.8384915,0.045693044,1.3937875,0.014577826,3.7020426
644.14716,0.8388655,0.04574445,1.394233,0.013043615,3.6280303
646.4883,0.8390566,0.045609437,1.3957801,0.011873356,3.5543845
648.8294,0.8400772,0.045227334,1.3966819,0.010995388,3.4814076
651.1706,0.841313,0.04495182,1.3962564,0.010355413,3.4093266
653.5117,0.84175366,0.044975463,1.3956132,0.009915198,3.338322
655.85284,0.84146255,0.045100994,1.3958287,0.009650251,3.2685277
658.194,0.84130394,0.045073215,1.396535,0.00954594,3.2000544
660.5351,0.841657,0.04492652,1.3966966,0.009594226,3.1329958
662.8763,0.8420159,0.044879783,1.39613,0.009793141,3.0674303
665.2174,0.84184736,0.045007166,1.3955748,0.010147998,3.0034316
667.55853,0.8413049,0.045169633,1.3955232,0.0106722405,2.9410682
669.89966,0.84088296,0.045243435,1.3956037,0.011387128,2.880413
672.2408,0.8406814,0.04528658,1.3952305,0.0123218065,2.821551
674.582,0.8403288,0.045431733,1.3944135,0.0135153495,2.7645724
676.9231,0.83954865,0.04570147,1.3936001,0.015020016,2.7095945
679.2642,0.83847773,0.046009686,1.3929538,0.016905228,2.6567535
681.60535,0.83735585,0.04631284,1.3921442,0.019260837,2.6062222
683.9465,0.8361206,0.046679784,1.3908339,0.022201637,2.5582187
686.2876,0.83446985,0.047200672,1.3890662,0.025874658,2.5130181
688.6288,0.8322177,0.04789014,1.3870354,0.030468753,2.47097
690.9699,0.829397,0.048720665,1.3846598,0.036224432,2.4325242
693.31104,0.8259975,0.049722236,1.3815826,0.043445565,2.3982487
695.65216,0.8217557,0.050999947,1.377517,0.05250964,2.36887
697.9933,0.81627274,0.05265913,1.3723776,0.0638781,2.3453145
700.3345,0.8092346,0.05476109,1.3660201,0.07810366,2.3287559
702.6756,0.8003843,0.057376552,1.358006,0.09581713,2.3206794
705.0167,0.789286,0.060651187,1.3477381,0.11769317,2.322938
707.35785,0.77527726,0.064766504,1.3347046,0.14436378,2.3378155
709.699,0.7577254,0.069840334,1.3183719,0.17626706,2.368058
712.04016,0.73623073,0.07591388,1.2979012,0.21339193,2.4168518
714.3813,0.7105277,0.08300392,1.2723069,0.2548937,2.487676
716.7224,0.6805661,0.090998925,1.240972,0.29863843,2.5839415
719.06354,0.64713275,0.09945514,1.2038919,0.3408167,2.7083042
721.40466,0.6121594,0.107670985,1.162118,0.37592116,2.861563
723.74585,0.57839316,0.1148022,1.1189615,0.39755544,3.0412672
726.087,0.5496007,0.11974853,1.0803183,0.40032896,3.2404265
728.4281,0.5302008,0.12160373,1.0535553,0.3822803,3.4473038
730.7692,0.52370876,0.12003378,1.0459726,0.34632796,3.6470811
733.11035,0.53237826,0.115045734,1.0619439,0.29936603,3.8252666
735.4515,0.5565407,0.107240096,1.1005261,0.24932206,3.9712775
737.79266,0.5935706,0.097571455,1.1555125,0.20233609,4.080263
740.1338,0.6386831,0.08701912,1.2165788,0.16168052,4.1525764
742.4749,0.6855908,0.07681753,1.2726425,0.12822981,4.1919336
744.81604,0.72791994,0.06806665,1.3164111,0.10150735,4.203509
